ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa
2004,AG104101,Florestal,Faro,Loulé,Boliqueime,Boliqueime,80804,198262,17465,2004-07-10,14:06:00,2004-07-10,21:43:00,2004-07-10,14:06:00,117,PT15010804,1,0,0,1,1,0,0,0,0,1,0,,,,
2004,AG104104,Florestal,Faro,Silves,São Bartolomeu de Messines,Vale da Velha de Baixo,81305,185727,37956,2004-07-12,00:18:00,2004-07-12,01:55:00,2004-07-12,00:18:00,117,PT15011305,0.005,0,0,0.005,0.005,0,0,0,1,0,0,,,,
2004,AG104123,Florestal,Faro,Tavira,Santo Estêvão,Cavada,81407,233738,18378,2004-07-20,12:46:00,2004-07-21,01:00:00,2004-07-20,12:46:00,117,PT15011407,0,40,0,40,40,0,0,0,0,1,0,,,,
2004,AG104125,Florestal,Faro,Monchique,Marmelete,Chã da Casa,80902,153286,33188,2004-07-22,22:27:00,2004-07-22,23:10:00,2004-07-22,22:27:00,117,PT15010902,0.005,0,0,0.005,0.005,0,0,0,1,0,0,,,,
2004,AG104127,Florestal,Faro,Tavira,Santo Estêvão,Cavada,81407,233738,18378,2004-07-23,14:17:00,2004-07-23,17:34:00,2004-07-23,14:17:00,117,PT15011407,0,0.5,0,0.5,0.5,0,0,0,1,0,0,,,6,Desconhecida
2004,AG104128,Florestal,Faro,Faro,Estoi,Azinhal e Amendoeira,80502,222397,16781,2004-07-23,18:11:00,2004-07-23,21:40:00,2004-07-23,18:11:00,117,PT15010502,0.005,0,0,0.005,0.005,0,0,0,1,0,0,,,,
2004,AG104129,Agrícola,Faro,Silves,Silves,CAIXA DE AGUA,81307,172597,25674,2004-07-23,19:32:00,2004-07-23,20:30:00,2004-07-23,19:32:00,117,PT15011307,0,0,0.002,0,0.002,0,0,0,0,0,1,,,6,Desconhecida
2004,AG104137,Florestal,Faro,Olhão,Moncarapacho,Marim,81002,229329,8811,2004-07-25,23:30:00,2004-07-26,01:00:00,2004-07-25,23:30:00,117,PT15011002,0,1.5,0,1.5,1.5,0,0,0,0,1,0,,,6,Desconhecida
2004,AG104140,Florestal,Faro,Olhão,Olhão,OLHÃO,81003,226007,6819,2004-07-26,16:04:00,2004-07-26,16:23:00,2004-07-26,16:04:00,117,PT15011003,0,0.005,0,0.005,0.005,0,0,0,1,0,0,,,,
2004,AG104165,Florestal,Faro,Alcoutim,Pereiro,Fonte Zambujo,80204,249081,50996,2004-07-25,16:00:00,2004-07-28,16:30:00,2004-07-25,16:00:00,117,PT15010204,409.2,921,401,1330.2,1731.2,0,0,0,0,1,0,,,4,Intencional
