ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf
2013,DM2134,Florestal,Porto,Vila Nova de Gaia,Vilar de Andorinho,rua de menezas,131723,161900,459599,2013-01-07,20:40:00,2013-01-07,21:20:00,2013-01-07,20:45:00,Outros,PT11040923,0.002,0,0,0.002,0.002,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,AG1133,Florestal,Faro,Aljezur,Rogil,Carreagem,80304,137900,44499,2013-01-07,16:04:00,2013-01-07,17:30:00,2013-01-07,16:20:00,Populares,PT15010304,0,0.2,0,0.2,0.2,0,0,0,1,0,0,,SUDOESTE ALENTEJANO E COSTA VICENTINA,449,Intencional,Algarve,Algarve
2013,DM2135,Florestal,Porto,Vila Nova de Gaia,Vilar de Andorinho,R. SERPENTE,131723,161900,459599,2013-01-07,13:50:00,2013-01-07,15:04:00,2013-01-07,13:55:00,Populares,PT11040923,0.01,0,0,0.01,0.01,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,DM3133,Florestal,Viana do Castelo,Ponte de Lima,Gondufe,CAPELA S. LOURENCO,160728,168661,532201,2013-01-07,17:38:00,2013-01-07,19:20:00,2013-01-07,17:50:00,117,PT11010728,0,0.1,0,0.1,0.1,0,0,0,1,0,0,,,125,Negligente,Entre Douro e Minho,Alto Minho
2013,BL3134,Florestal,Aveiro,Albergaria-a-Velha,Branca,Nobrijo,10204,170600,421800,2013-01-07,17:30:00,2013-01-07,18:31:00,2013-01-07,17:41:00,Populares,PT12010204,0.02,0,0,0.02,0.02,0,0,0,1,0,0,,,6,Desconhecida,Beira Litoral,Centro Litoral
2013,RO3131,Florestal,Setúbal,Sines,Sines,ESTRADA LENTISCAIS,151301,142600,110600,2013-01-08,17:26:00,2013-01-08,19:24:00,2013-01-08,17:41:00,Populares,PT14010501,0.4039,0,0,0.4039,0.4039,0,0,0,1,0,0,Área Florestal de Sines,,630,Desconhecida,Alentejo,Alentejo Litoral
2013,AG1134,Falso Alarme,Faro,Aljezur,Aljezur,Vale da Telha,80301,136500,38900,2013-01-08,17:55:00,2013-01-08,18:56:00,2013-01-08,18:10:00,Populares,PT15010301,0,0,0,0,0,0,0,1,0,0,0,,SUDOESTE ALENTEJANO E COSTA VICENTINA,,,Algarve,Algarve
2013,BL3135,Falso Alarme,Aveiro,Oliveira de Azeméis,Pinheiro da Bemposta,Minhoteira,11313,170300,423900,2013-01-08,19:45:00,2013-01-08,20:30:00,2013-01-08,20:05:00,Populares,PT11060313,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,DM2136,Falso Alarme,Porto,Vila Nova de Gaia,Vilar de Andorinho,RUA DE VAIZA,131723,161900,459599,2013-01-08,14:40:00,2013-01-08,15:20:00,2013-01-08,14:43:00,Populares,PT11040923,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,BI1134,Queimada,Guarda,Guarda,Ramela,RAMELA,90734,273999,390100,2013-01-08,15:18:00,2013-01-08,16:20:00,2013-01-08,15:35:00,117,PT12080434,0,0,0.01,0,0.01,0,1,0,0,0,0,,,124,Negligente,Beira Interior,Beira Interior Norte
