ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa
2003,AG103244,Florestal,Faro,Faro,Santa Bárbara de Nexe,Furadoiro,80503,213010,14603,2003-05-19,14:07:00,2003-05-19,16:20:00,2003-05-19,14:07:00,Outros,PT15010503,0,0.0003,0,0.0003,0.0003,0,0,0,1,0,0,,,,
2003,AG103272,Florestal,Faro,Portimão,Portimão,PRAIA DA ROCHA,81103,163592,16802,2003-06-12,14:40:00,2003-06-12,15:55:00,2003-06-12,14:51:00,Outros,PT15011103,0,0.0005,0,0.0005,0.0005,0,0,0,1,0,0,,,,
2003,AG103278,Florestal,Faro,Portimão,Portimão,Morgado de Arge,81103,166002,24755,2003-06-15,20:08:00,2003-06-15,22:23:00,2003-06-15,20:08:00,Outros,PT15011103,0.2,0,0,0.2,0.2,0,0,0,1,0,0,,,,
2003,AG103299,Florestal,Faro,São Brás de Alportel,São Brás de Alportel,Alfarrobeira,81201,229025,31575,2003-06-26,15:15:00,2003-06-26,20:45:00,2003-06-26,15:15:00,Outros,PT15011201,0.2,0.5,0.5,0.7,1.2,0,0,0,1,0,0,,,610,Desconhecida
2003,AG103301,Florestal,Faro,Loulé,Loulé (são Clemente),LOULÉ,80808,209811,19266,2003-06-27,14:50:00,2003-06-27,15:05:00,2003-06-27,14:50:00,Outros,PT15010808,0,3,0,3,3,0,0,0,0,1,0,,,,
2003,AG103315,Florestal,Faro,Albufeira,Albufeira,ALBUFEIRA,80101,189350,13986,2003-06-19,21:20:00,2003-06-19,22:22:00,2003-06-19,21:20:00,Outros,PT15010101,0,0.001,0,0.001,0.001,0,0,0,1,0,0,,,,
2003,AG103253,Florestal,Faro,São Brás de Alportel,São Brás de Alportel,Calçada,81201,220767,20421,2003-05-25,12:00:00,2003-05-25,12:35:00,2003-05-25,12:00:00,Outros,PT15011201,0,0.0003,0,0.0003,0.0003,0,0,0,1,0,0,,,,
2003,AG103328,Florestal,Faro,Faro,Faro (são Pedro),FARO,80504,217724,5732,2003-07-07,17:58:00,2003-07-07,18:40:00,2003-07-07,17:58:00,Outros,PT15010504,0,1,0,1,1,0,0,0,0,1,0,,,,
2003,AG103334,Florestal,Faro,Alcoutim,Vaqueiros,MONCHIQUE,80205,234953,43161,2003-07-10,02:20:00,2003-07-10,15:45:00,2003-07-10,02:33:00,PV,PT15010205,0.004,0,0,0.004,0.004,0,0,0,1,0,0,,,,
2003,AG103335,Florestal,Faro,Monchique,Monchique,Cabeços,80903,164791,41814,2003-07-11,19:53:00,2003-07-11,20:45:00,2003-07-11,20:00:00,PV,PT15010903,0.0015,0,0,0.0015,0.0015,0,0,0,1,0,0,,,,
2003,AG103257,Florestal,Faro,Silves,Silves,Cabeça Branca,81307,172973,29700,2003-05-28,19:20:00,2003-05-28,21:10:00,2003-05-28,19:20:00,117,PT15011307,1,0,0,1,1,0,0,0,0,1,0,,,,
2003,AG103258,Florestal,Faro,Monchique,Alferce,Casa Velha,80901,167495,40424,2003-05-29,00:53:00,2003-05-29,02:00:00,2003-05-29,00:53:00,Outros,PT15010901,0,0.005,0,0.005,0.005,0,0,0,1,0,0,,,,
2003,AG103275,Florestal,Faro,Silves,Alcantarilha,Rogel,81301,180950,19107,2003-06-13,20:32:00,2003-06-13,21:55:00,2003-06-13,20:46:00,117,PT15011301,0,0.006,0,0.006,0.006,0,0,0,1,0,0,,,,
2003,AG103288,Florestal,Faro,Albufeira,Ferreiras,Ferreiras,80104,190151,17930,2003-06-22,11:40:00,2003-06-22,14:08:00,2003-06-22,11:50:00,117,PT15010104,0,3,0,3,3,0,0,0,0,1,0,,,,
2003,AG103304,Florestal,Faro,Silves,Silves,Pateiro,81307,170892,26665,2003-06-27,18:47:00,2003-06-28,03:55:00,2003-06-27,18:47:00,Outros,PT15011307,0,4.7,0,4.7,4.7,0,0,0,0,1,0,,,,
2003,AG103270,Florestal,Faro,Faro,Santa Bárbara de Nexe,SANTA BÁRBARA DE NEXE,80503,215033,15299,2003-06-10,17:20:00,2003-06-10,19:25:00,2003-06-10,17:25:00,117,PT15010503,0,0.1,0,0.1,0.1,0,0,0,1,0,0,,,,
2003,AG103234,Florestal,Faro,Monchique,Monchique,Garganta,80903,161202,39349,2003-03-16,14:33:00,2003-03-16,16:00:00,2003-03-16,14:33:00,Outros,PT15010903,0.155,0,0,0.155,0.155,0,0,0,1,0,0,,,,
2003,AG103290,Florestal,Faro,Loulé,Alte,Soidos de Cima,80802,196797,31413,2003-06-21,16:27:00,2003-06-21,21:21:00,2003-06-21,16:27:00,Outros,PT15010802,0.1,0,0,0.1,0.1,0,0,0,1,0,0,,,,
2003,AG103318,Florestal,Faro,Lagos,Lagos (são Sebastião),Chinicato,80706,152400,18459,2003-07-02,19:37:00,2003-07-02,20:10:00,2003-07-02,19:37:00,Outros,PT15010706,0,0.085,0,0.085,0.085,0,0,0,1,0,0,,,,
2003,AG103235,Florestal,Faro,Aljezur,Aljezur,Vale da Nora das Sobreiras,80301,142801,39185,2003-04-06,17:51:00,2003-04-06,18:28:00,2003-04-06,17:51:00,Outros,PT15010301,0.01,0,0,0.01,0.01,0,0,0,1,0,0,,,,
2003,AG103262,Florestal,Faro,Loulé,Quarteira,Fonte Santa,80805,204691,12039,2003-06-05,19:25:00,2003-06-05,20:30:00,2003-06-05,19:25:00,117,PT15010805,0.01,0,0,0.01,0.01,0,0,0,1,0,0,,,,
2003,AG103264,Florestal,Faro,Vila Real de Santo António,Vila Real de Santo António,VILA REAL 1º,81602,263912,25146,2003-06-07,22:50:00,2003-06-07,23:50:00,2003-06-07,22:50:00,Outros,PT15011602,0.001,0,0,0.001,0.001,0,0,0,1,0,0,,,,
2003,AG103354,Florestal,Faro,Aljezur,Aljezur,Cerca dos Pomares,80301,144043,39924,2003-07-16,15:35:00,2003-07-16,22:00:00,2003-07-16,15:40:00,117,PT15010301,14,0,2,14,16,0,0,0,0,1,0,,,222,Negligente
2003,AG103305,Florestal,Faro,Silves,Silves,Monte Branco,81307,172597,25674,2003-06-27,23:47:00,2003-06-28,03:34:00,2003-06-27,23:47:00,Outros,PT15011307,0,1.5,0,1.5,1.5,0,0,0,0,1,0,,,,
2003,AG103306,Florestal,Faro,Monchique,Monchique,Fóia,80903,158744,38432,2003-06-29,17:07:00,2003-06-29,20:00:00,2003-06-29,17:17:00,117,PT15010903,0,0.25,0,0.25,0.25,0,0,0,1,0,0,,,,
2003,AG103307,Florestal,Faro,Monchique,Marmelete,Guena,80902,151108,29119,2003-06-25,17:51:00,2003-06-27,00:25:00,2003-06-25,17:57:00,117,PT15010902,15.3,0,0,15.3,15.3,0,0,0,0,1,0,,,224,Negligente
2003,AG103228,Florestal,Faro,Castro Marim,Castro Marim,CASTRO MARIM,80402,260994,28376,2003-02-13,16:18:00,2003-02-13,17:16:00,2003-02-13,16:18:00,Outros,PT15010402,0,0.05,0,0.05,0.05,0,0,0,1,0,0,,,,
2003,AG103265,Florestal,Faro,Tavira,Tavira (santa Maria),Eira da Palma,81405,243378,24009,2003-06-08,02:04:00,2003-06-08,04:40:00,2003-06-08,02:04:00,Outros,PT15011405,0,2.5,0,2.5,2.5,0,0,0,0,1,0,,,,
2003,AG103355,Agrícola,Faro,Albufeira,Albufeira,ALBUFEIRA,80101,189350,13986,2003-07-17,09:37:00,2003-07-17,10:30:00,2003-07-17,09:37:00,117,PT15010101,0,0,0.5,0,0.5,0,0,0,0,0,1,,,,
2003,AG103325,Florestal,Faro,Silves,Algoz,Algoz,81302,184889,22463,2003-07-06,11:43:00,2003-07-06,12:43:00,2003-07-06,11:43:00,117,PT15011302,0.0015,0,0,0.0015,0.0015,0,0,0,1,0,0,,,,
2003,AG103320,Florestal,Faro,Lagoa,Lagoa,Vale de El-Rei,80603,173725,16075,2003-07-04,19:14:00,2003-07-04,20:47:00,2003-07-04,19:14:00,Outros,PT15010603,0.04,0,0,0.04,0.04,0,0,0,1,0,0,,,,
2003,AG103330,Florestal,Faro,Castro Marim,Odeleite,Fortes,80403,246045,42432,2003-07-08,13:57:00,2003-07-09,01:30:00,2003-07-08,13:57:00,Outros,PT15010403,17,155,0,172,172,0,0,0,0,1,0,,,311,Intencional
2003,AG103356,Florestal,Faro,São Brás de Alportel,São Brás de Alportel,Barracha,81201,224413,19316,2003-07-19,22:18:00,2003-07-20,02:10:00,2003-07-19,22:18:00,Outros,PT15011201,0,0.05,0,0.05,0.05,0,0,0,1,0,0,,,,
2003,AG103319,Florestal,Faro,Olhão,Olhão,Olhão,81003,226097,7220,2003-07-03,17:02:00,2003-07-03,19:10:00,2003-07-03,17:02:00,117,PT15011003,0.06,0,0,0.06,0.06,0,0,0,1,0,0,,,,
2003,AG103249,Florestal,Faro,Tavira,Santa Catarina Da Fonte Do Bispo,Malhada de Álvaro Vaz,81404,236595,30161,2003-05-23,16:13:00,2003-05-23,20:00:00,2003-05-23,16:13:00,117,PT15011404,0,0.5,0,0.5,0.5,0,0,0,1,0,0,,,,
2003,AG103396,Agrícola,Faro,Loulé,Loulé (são Sebastião),Cerro,80809,203989,23856,2003-08-07,16:04:00,2003-08-07,21:19:00,2003-08-07,16:04:00,117,PT15010809,0,2E-05,0,2E-05,2E-05,0,0,0,1,0,0,,,,
