ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa
2002,AG10210,Agrícola,Faro,Albufeira,Guia,GUIA,80102,185311,17868,2002-07-04,11:41:00,2002-07-04,14:30:00,2002-07-04,11:41:00,117,PT15010102,0,0,1,0,1,0,0,0,0,0,1,,,,
2002,AG1021,Florestal,Faro,Lagos,Bensafrim,Cotifo,80702,150053,23177,2002-07-01,15:52:00,2002-07-01,17:30:00,2002-07-01,15:52:00,117,PT15010702,0.04,0,0,0.04,0.04,0,0,0,1,0,0,,,,
2002,AG102103,Florestal,Faro,Castro Marim,Castro Marim,Junqueira,80402,258757,32199,2002-07-09,17:13:00,2002-07-09,19:20:00,2002-07-09,17:13:00,Outros,PT15010402,0,0.2,0,0.2,0.2,0,0,0,1,0,0,,,,
2002,AG102135,Florestal,Faro,Silves,Silves,Monte Branco,81307,172276,26293,2002-06-23,15:31:00,2002-06-24,01:20:00,2002-06-23,15:31:00,Outros,PT15011307,19,4.6,0,23.6,23.6,0,0,0,0,1,0,,,448,Intencional
2002,AG102108,Florestal,Faro,Faro,Estoi,Alcaria Branca,80502,223014,15282,2002-07-12,07:51:00,2002-07-12,11:20:00,2002-07-12,08:09:00,117,PT15010502,0,0.5,0,0.5,0.5,0,0,0,1,0,0,,,,
2002,AG102148,Florestal,Faro,Alcoutim,Vaqueiros,VAQUEIROS,80205,235806,46529,2002-07-26,22:38:00,2002-07-27,04:20:00,2002-07-26,22:38:00,117,PT15010205,14,1,0,15,15,0,0,0,0,1,0,,,610,Desconhecida
2002,AG102155,Florestal,Faro,São Brás de Alportel,São Brás de Alportel,Ribeira das Mercês,81201,216516,23454,2002-07-28,12:25:00,2002-07-31,20:00:00,2002-07-28,12:33:00,PV,PT15011201,4,241,60,245,305,0,0,0,0,1,0,,,610,Desconhecida
2002,AG102101,Florestal,Faro,Tavira,Conceição,Faz Fato,81402,247594,30040,2002-07-08,03:01:00,2002-07-08,04:30:00,2002-07-08,03:01:00,117,PT15011402,0,0.01,0,0.01,0.01,0,0,0,1,0,0,,,,
2002,AG102110,Florestal,Faro,Silves,São Marcos da Serra,Cerro de Águia,81306,177660,49129,2002-07-12,17:53:00,2002-07-13,01:46:00,2002-07-12,17:53:00,PV,PT15011306,10,0,0,10,10,0,0,0,0,1,0,,,,
2002,AG102116,Florestal,Faro,Silves,Alcantarilha,ALCANTARILHA,81301,181069,18222,2002-07-15,18:25:00,2002-07-15,22:10:00,2002-07-15,18:25:00,PV,PT15011301,0.5,0,0,0.5,0.5,0,0,0,1,0,0,,,,
2002,AG102125,Florestal,Faro,Portimão,Portimão,Rasmalho,81103,163531,29002,2002-07-17,03:35:00,2002-07-17,04:54:00,2002-07-17,03:35:00,Outros,PT15011103,0.002,0,0,0.002,0.002,0,0,0,1,0,0,,,,
2002,AG102127,Florestal,Faro,Monchique,Monchique,Portela do Vento,80903,162338,42078,2002-07-17,05:34:00,2002-07-17,07:10:00,2002-07-17,05:34:00,Outros,PT15010903,0.004,0,0,0.004,0.004,0,0,0,1,0,0,,,,
2002,AG102158,Florestal,Faro,Lagos,Barão de São João,Machada,80701,143925,21308,2002-07-30,20:47:00,2002-07-30,23:00:00,2002-07-30,20:49:00,Outros,PT15010701,0,0.6,0,0.6,0.6,0,0,0,1,0,0,,,,
2002,AG10214,Florestal,Faro,Silves,Armação de Pêra,Caliços,81303,180201,16475,2002-07-05,13:46:00,2002-07-06,00:35:00,2002-07-05,13:46:00,Outros,PT15011303,2,0,0,2,2,0,0,0,0,1,0,,,,
2002,AG102102,Florestal,Faro,Monchique,Alferce,Maias,80901,166667,39706,2002-07-09,12:25:00,2002-07-09,17:36:00,2002-07-09,12:25:00,PV,PT15010901,0.06,0,0,0.06,0.06,0,0,0,1,0,0,,,,
2002,AG102105,Agrícola,Faro,Silves,Alcantarilha,Rogel,81301,180950,19107,2002-07-11,21:03:00,2002-07-12,02:12:00,2002-07-11,21:03:00,117,PT15011301,0,0,2,0,2,0,0,0,0,0,1,,,,
2002,AG102149,Florestal,Faro,Monchique,Alferce,ALFERCE,80901,168404,40896,2002-07-27,15:35:00,2002-07-27,17:35:00,2002-07-27,15:38:00,PV,PT15010901,0,0.12,0,0.12,0.12,0,0,0,1,0,0,,,,
2002,AG102119,Florestal,Faro,Albufeira,Albufeira,Monte Choro,80101,191577,14857,2002-07-16,01:57:00,2002-07-16,03:21:00,2002-07-16,01:57:00,Outros,PT15010101,0.01,0,0,0.01,0.01,0,0,0,1,0,0,,,,
2002,AG102168,Florestal,Faro,Aljezur,Odeceixe,Furadouro,80303,145663,50918,2002-08-06,15:00:00,2002-08-06,19:31:00,2002-08-06,15:17:00,PV,PT15010303,2,0,0,2,2,0,0,0,0,1,0,,,,
2002,AG102153,Agrícola,Faro,Loulé,Quarteira,QUARTEIRA,80805,202666,11814,2002-07-28,14:33:00,2002-07-28,15:48:00,2002-07-28,14:33:00,117,PT15010805,0,0,0.025,0,0.025,0,0,0,0,0,1,,,,
2002,AG102126,Agrícola,Faro,Loulé,Almansil,Troto,80801,211628,12849,2002-07-17,05:25:00,2002-07-17,08:15:00,2002-07-17,05:25:00,Outros,PT15010801,0,0,0.5,0,0.5,0,0,0,0,0,1,,,,
2002,AG10217,Florestal,Faro,Portimão,Mexilhoeira Grande,Descampadinho,81102,157244,21541,2002-07-06,13:27:00,2002-07-06,18:50:00,2002-07-06,13:27:00,Outros,PT15011102,0.1,0,0,0.1,0.1,1,0,0,1,0,0,,,,
