ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa
2001,AG101103,Florestal,Faro,Faro,Montenegro,Monte Negro,80506,215209,7283,2001-07-29,15:32:00,2001-07-29,17:20:00,2001-07-29,15:32:00,Outros,PT15010506,0.008,0,0,0.008,0.008,0,0,0,1,0,0,,,,
2001,AG101104,Florestal,Faro,Silves,São Bartolomeu de Messines,Sarnim,81305,184830,38799,2001-07-02,12:59:00,2001-07-03,02:39:00,2001-07-02,12:59:00,PV,PT15011305,3,8,0,11,11,0,0,0,0,1,0,,,6,Desconhecida
2001,AG101107,Florestal,Faro,Alcoutim,Martim Longo,Diogo Dias,80203,228750,52319,2001-07-31,23:37:00,2001-08-01,02:53:00,2001-07-31,23:37:00,Outros,PT15010203,0,1,0,1,1,0,0,0,0,1,0,,,,
2001,AG101108,Florestal,Faro,Silves,Silves,SILVES,81307,172823,24768,2001-08-01,17:02:00,2001-08-01,17:24:00,2001-08-01,17:02:00,Outros,PT15011307,0,0.03,0,0.03,0.03,0,0,0,1,0,0,,,,
2001,AG101106,Florestal,Faro,Aljezur,Aljezur,ALJEZUR,80301,140547,39294,2001-07-19,00:28:00,2001-07-19,01:08:00,2001-07-19,00:28:00,Outros,PT15010301,0,0.005,0,0.005,0.005,0,0,0,1,0,0,,,,
2001,AG1011,Florestal,Faro,Silves,Silves,ODELOUCA,81307,166254,26770,2001-02-18,13:20:00,2001-02-18,14:20:00,2001-02-18,13:20:00,Outros,PT15011307,0.1,0,0,0.1,0.1,0,0,0,1,0,0,,,,
2001,AG101101,Florestal,Faro,Monchique,Alferce,Maias,80901,166667,39706,2001-07-28,19:33:00,2001-07-28,20:23:00,2001-07-28,19:33:00,PV,PT15010901,0.693,0,0,0.693,0.693,0,0,0,1,0,0,,,,
2001,AG101144,Florestal,Faro,Tavira,Luz,Arroio,81403,239168,13711,2001-08-16,17:44:00,2001-08-16,18:12:00,2001-08-16,17:44:00,Outros,PT15011403,0,0.005,0,0.005,0.005,0,0,0,1,0,0,,,,
2001,AG101172,Florestal,Faro,Lagoa,Porches,PORCHES,80604,176441,17847,2001-09-16,14:40:00,2001-09-16,15:40:00,2001-09-16,14:40:00,CCO,PT15010604,0,0.01,0,0.01,0.01,0,0,0,1,0,0,,,,
2001,AG10111,Florestal,Faro,Silves,São Bartolomeu de Messines,Vale de Barriga,81305,185088,36244,2001-05-08,14:09:00,2001-05-08,14:55:00,2001-05-08,14:09:00,CCO,PT15011305,0,0.01,0,0.01,0.01,0,0,0,1,0,0,,,,
